_id,OBJECTID,AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED,ADDRESS_POINT_ID,X,Y,LONGITUDE,LATITUDE,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,geometry
11,755,Centre for Spanish Speaking Peoples,"2141 Jane St, 2nd Fl, Toronto, ON     M3M 1A2","Downsview-Roding-CFB, 26",416-533-8545,info@spanishservices.org,"<a href=""http://www.spanishservices.org"" target=""_blank"">www.spanishservices.org</a>","Open to all, with focus on Spanish-speaking community","Reception and settlement services * information, counselling and referral * assistance finding housing * help filling citizenship forms or permanent resident card applications * income tax clinic * commissioner of oaths * interpretation and translation services * cultural events, recreation * volunteer opportunities to gain Canadian experience
<br><br>
<b>Women's Program</b>, Intake 416-533-6411 -- for Spanish-speaking women and their children who have experienced domestic abuse * individual crisis counselling and group counselling by telephone or in person * support groups for isolated women and their children * court accompaniment and support * information and orientation about legal rights * workshops * assistance leaving the abusive home, finding transitional housing and applying for social assistance
<br><br>
<b>Seniors' Program</b> -- support group * information and referral * computer classes * guest speakers * recreational and educational activities
<br><br>
<b>Youth Program</b> -- outreach and employment support for youth 13-24 years * counselling and referral * housing help * recreational programs","Drop in, call, fax or email",English ; Spanish,Not Accessible ; Accessible office available by request,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-06-15T04:00:00,530999,,,,,2141 Jane St,North York,M3M 1A2,"{u'type': u'Point', u'coordinates': (-79.5079954297, 43.7203440902)}"
12,756,Centre for Immigrant and Community Services,"2330 Midland Ave, Toronto, ON     M1S 5G5","Agincourt South-Malvern West, 128",416-292-7510,info@cicscanada.com,"<a href=""http://www.cicscanada.com"" target=""_blank"">www.cicscanada.com</a>",Open to all,"Immigrant Resource Centre -- multiservice centre with newcomer, job seeker and family services for all ages * services also offered at 2 locations in York Region 905-479-7926, 905-294-8868<br><br>

<b>Settlement and Employment Services</b> (formerly Immigrant Settlement and Adaptation Program) -- information and referral * orientation, needs assessment * translation and interpretation * supportive counselling * bridging services * form filling * workshops and tours * seasonal income tax clinic * <b>Community Connections Mentorship Program</b> (formerly HOST Program) -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks * trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development<br><br>

<b>Professional Development and Small Business Resource Centre</b> -- walk-in centre * resource materials for internationally trained professionals * business information * referrals<br><br> 

<b>Settlement and Integration Resource Centre</b> -- drop-in centre providing settlement and integration information and resources * access to computers, Internet<br><br>

<b>Settlement and Education Partnerships in Toronto (SEPT) (Settlement Workers in Schools) </b> -- outreach program based in elementary and secondary schools from mid-August to end of June, and in libraries and summer school programs from July to mid-August * homework club * multi-languages service in North York area, connecting parents and students with the schools, parent interviews with schools, parenting group sessions, settlement information sessions * contact 416-292-7510 ext 301 <br><br> 

<b>Employment Resource Centre</b> -- walk-in job search centre * access to computers, Internet, fax, photocopier, telephone * staff assistance available * resource materials * job boards * labour market information * resume clinics * mock interviews * workshops<br><br> 

<b>Early Years Program</b> -- preschool education program for children and their parents * social and learning skills for preschool children * parenting education * parent-child interactive activities <br> <br> 

<b>Children and Youth Programs</b> -- after school program * summer camp * Saturday enrichment classes * leadership and life skills training * employment readiness
<br><br> 

<b>Seniors and Family Programs</b> -- form filling * supportive counselling * client intervention assistance * social, educational and recreational programs * support groups * health information workshops
<br><br> 

<b>Volunteer Services</b> -- training and development * placements * public education",Call or drop in,English ; French ; Arabic ; Bengali ; Chinese (Cantonese) ; Chinese (Mandarin) ; Dari ; Farsi ; Filipino ; Gujarati ; Hebrew ; Hindi ; Korean ; Kurdish ; Malay ; Punjabi ; Russian ; Sindhi ; Spanish ; Tamil ; Ukrainian ; Urdu ; not all languages available,Designated parking at entrance ; Easy access to elevator - lowered buttons ; Non-powered swing doors ; Barrier free washrooms,Mon-Fri 9 am-5 pm * some Saturday and Sunday programs,(50) Non Profit ; (51) Registered Charity,2015-02-09T05:00:00,363508,,,,,2330 Midland Ave,Scarborough,M1S 5G5,"{u'type': u'Point', u'coordinates': (-79.2760101889, 43.778380034)}"
13,757,Heart Beatz / Cliffcrest Community Centre,"2938 Eglinton Ave E, Toronto, ON     M1J 2E4","Eglinton East, 138",416-267-6293,cliffcrest@bellnet.ca,"<a href=""http://"" target=""_blank""></a>",Open to all,"Community centre * community kitchen * family resource centre and drop-in * resource library * parenting workshops * child care registry  * after school program for youth at Cliffcrest location (grades 6-8), Gordon Ridge location (grades 1-8), Gilder location (grades 4-6) -- homework help, leadership skills, recreation, cooking instruction, physical fitness * volunteer opportunities * 2 licensed child care centres -- see separate entries <br><br>

Also  Cliffcrest Library Family Resource, 3017 Kingston Rd * Scarborough Village Family Resource satellite drop-in, 14 Centre St * Trudelle Family Resource satellite drop-in, 1300 Danforth Rd",Call for information,English ; French ; Arabic ; Bengali ; Chinese (Mandarin) ; Portuguese ; Tamil,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 7 am-6 pm,(50) Non Profit ; (51) Registered Charity,2015-09-25T04:00:00,9011629,,,,,2938 Eglinton Ave E,Scarborough,M1J 2E4,"{u'type': u'Point', u'coordinates': (-79.2357086101, 43.739822359)}"
14,758,VWAT Family Services,"1756 St Clair Ave W, Toronto, ON     M6N 1J3","Weston-Pellam Park, 91",647-723-2165,info@vwat.org,"<a href=""http://www.vwat.org"" target=""_blank"">www.vwat.org</a>",Open to all,"Settlement services -- help filling out forms and documents including applications for citizenship or permanent resident card, old age security, child tax benefit, birth certificate * referrals including health, social services, racial discrimination, workplace harassment, children's health, school and nutrition
<br><br>
Violence Prevention and Crisis Intervention -- for women and their children experiencing domestic violence or crisis * one-on-one counselling * develop a safety plan and strategies
<br><br>
Parenting -- support for parents and families * workshops on raising healthy children * strategies to deal with cultural differences * Incredible Years Parenting Group -- parenting information and techniques * develop social network and supports
<br><br>
VWAT Youth Leadership Program * leadership training, skill building workshops * sports programs, field trips * youth led workshops or events * volunteer opportunities",Drop in or call for information or appointment,English ; Vietnamese,"Wheelchair accessible washroom, assistance needed with door ; Wheelchair accessible, non-powered main entrance ; Free parking at rear",Mon-Sat 9 am-4:30 pm,(50) Non Profit,2015-12-21T05:00:00,14038812,,,,,1756 St Clair Ave W,former Toronto,M6N 1J3,"{u'type': u'Point', u'coordinates': (-79.4608852202, 43.6742257578)}"
15,759,Egale Canada Human Rights Trust,"183 Carlton St, Toronto, ON     M5A 2K7","Moss Park, 73",416-964-7887 ext 9,outreach@egale.ca,"<a href=""http://egale.ca/outreach"" target=""_blank"">egale.ca/outreach</a>","Lesbian, gay, bisexual, trans, intersex, queer, questioning and Two-Spirit (LGBTIQ2S) youth 16-29 years who are homeless, unstably housed, or at risk of homelessness","Drop-in centre and counselling services for LGBTIQ2S youth * intake, assessment and individualized support plan * information and referral -- emergency shelter, housing options * assistance in applying for government health (OHIP) and social assistance programs (OW, ODSP) * assistance in obtaining identification and/or legal support in amending sex markers on official documentation * employment assistance including resume and job search coaching, and referrals * food, TTC tokens and other basic necessities<br><br>

<b>Counselling Centre</b> -- immediate crisis response and counselling * suicide prevention, intervention and follow-up care * individual mental health counselling * group counselling * family counselling * addiction and mental health supports * medical, dental and legal aid referrals * exploration of education opportunities, including high school, postsecondary and trades programs * gender affirmation, community acceptance support and counselling, including transition planning and trans literacy seminars * group discussion, counselling and learning activities","Call, email or drop in",English,Limited wheelchair accessibility - call for details ; Washroom not accessible,Drop-in centre and walk-in counselling -- Mon-Fri 3 pm-7 pm * counselling also by appointment Mon-Fri 11 am-3 pm,(50) Non Profit ; (51) Registered Charity,2015-11-19T05:00:00,2611606,,,,,183 Carlton St,former Toronto,M5A 2K7,"{u'type': u'Point', u'coordinates': (-79.3711742659, 43.6632764838)}"
16,760,Community Action Resource Centre,"1652 Keele St, Toronto, ON     M6M 3W3","Keelesdale-Eglinton West, 110",416-652-2273,info@communityarc.ca,"<a href=""http://www.communityarc.ca"" target=""_blank"">www.communityarc.ca</a>",Varies by program,"Information and referral * form filling * letter writing * supportive and crisis counselling * interpretation and translation * client advocacy and follow-up * clothing bank * seasonal income tax clinic * free access to computers * settlement services * legal clinic with summary advice for immigration, employment and family law matters * English conversation group * offsite afterschool program and summer camp for children 6-12 years * community development * community garden<br><br>
<b>Metro Voice Mail Project </b>-- persons without telephones receive private phone number to retrieve messages from any touch-tone phone, $10 for 3 months * priority to social assistance and Employment Insurance recipients",,English ; Portuguese ; Somali ; Spanish,Wheelchair accessible main entrance and barrier free washrooms,Mon-Fri 9 am-5 pm * after hours -- answering machine directs callers to another number,(50) Non Profit,2014-08-12T04:00:00,8133423,,,,,1652 Keele St,York,M6M 3W3,"{u'type': u'Point', u'coordinates': (-79.4729264103, 43.6838636044)}"
17,793,Ethiopian Association in the Greater Toronto Area,"1950 Danforth Ave, Toronto, ON     M4C 1J4","Danforth Village-Toronto, 66",416-694-1522,office@ethiocommun.org,"<a href=""http://www.ethiocommun.org"" target=""_blank"">www.ethiocommun.org</a>","Open to all, with focus on Ethiopian community","Settlement information and referral for immigrants and refugees * reception * orientation * counselling * translation and interpretation * advocacy * community education * youth activities * programs for women, seniors and children<br>
<br>
Seniors outreach and recreation * networking and referrals * cultural programs * workshops<br>
<br>
HIV/AIDS Prevention and Education Community Program * youth volunteer training and workshops * one-on-one HIV/AIDS and STI (sexually transmitted infections) education",Drop in or call for appointment,English ; Amharic ; Italian ; Oromo,Not Accessible,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-01-20T05:00:00,790198,,,,,1950 Danforth Ave,former Toronto,M4C 1J4,"{u'type': u'Point', u'coordinates': (-79.3156590633, 43.6852631291)}"
18,761,Toronto Council Fire Native Cultural Centre,"439 Dundas St E, Toronto, ON     M5A 2B1","Moss Park, 73",416-360-4350,cdo@councilfire.ca,"<a href=""http://www.councilfire.ca"" target=""_blank"">www.councilfire.ca</a>","Aboriginal people, including First Nations, Inuit and Metis","Aboriginal community service centre * assistance with emergency problems * focus on Native cultural and spiritual awareness<br><br>

<b>Meal Program</b> -- lunch Monday-Sunday 12 noon-12:30 pm * supper Monday-Thursday 4 pm-4:30 pm<br><br>

<b>Health</b> -- long term care support services<br><br> 

<b>Counselling unit</b> -- information, counselling and referral * self-help groups<br><br>

<b>Gathering place</b> -- drop-in * social programs and events * crafts and hobby groups<br><br>

<b>Child and Family</b> -- parenting group * prenatal nutrition program * community kitchen<br><br>

<b> Youth</b> -- individual support * nutrition and healthy lifestyles workshops<br><br>

<b>Education Sector</b> -- academic upgrading * basic computer training and Microsoft Office Specialist certification * carpentry pre-apprenticeship program",Drop in or call,English ; Cree ; Micmac ; Ojibway ; Oneida,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm * some evening and weekend programs,(50) Non Profit ; (51) Registered Charity,2014-12-05T05:00:00,7650863,,,,,439 Dundas St E,former Toronto,M5A 2B1,"{u'type': u'Point', u'coordinates': (-79.3662916895, 43.6592119915)}"
19,762,Boys and Girls Club of East Scarborough,"100 Galloway Rd, Toronto, ON     M1E 1W7","West Hill, 136",416-281-0262 ext 208,lmills@esbgc.org,"<a href=""http://www.esbgc.org"" target=""_blank"">www.esbgc.org</a>",Varies by program,Ontario Early Years Centre * drop-in for caregivers and children birth-6 years * school readiness program for children 2 1/2-6 years * parenting workshops * childminding services for parents and caregivers attending programs * information and referral * community information for new residents * social and recreation programs * Good Food Box distribution -- see separate entry FoodShare * summer camp for children 3-6 years,,English,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall,Mon-Fri 8:30 am-4:30 pm,(50) Non Profit ; (51) Registered Charity,2015-06-01T04:00:00,336705,,,,,100 Galloway Rd,Scarborough,M1E 1W7,"{u'type': u'Point', u'coordinates': (-79.1933385098, 43.7574284483)}"
20,763,Covenant House Toronto,"20 Gerrard St E, Toronto, ON     M5B 2P3","Bay Street Corridor, 76",416-598-4898,general@covenanthouse.ca,"<a href=""http://www.covenanthousetoronto.ca"" target=""_blank"">www.covenanthousetoronto.ca</a>",Homeless and runaway youth 16-24 years,"Crisis intervention centre * residential, non-residential and community support services * education * pastoral ministry * runaway prevention program * day program * community youth meal programs<br><br>

<b>Community Support Services, 416-204-7037</b> -- drop-in for ex-residents and non-residents * hot meal or food package (member of Daily Bread Food Bank) * clothing * hygiene necessities * showers * assessment and referrals * counselling * health care * housing help * literacy * life skills * assistance in finding and keeping a job * legal resources * recreation * street outreach * ID clinic<br><br>

<b>Health Care Services</b> -- primary medical care * diagnostic services * health education * assistance in obtaining medical coverage * referrals * access to family practice doctor and psychiatrist<br><br>

<b><a href=""http://Cov4Youth.ca"">Cov4Youth.ca</a></b>, help@covenanthouse.ca -- online information, fact sheets and advice on youth issues and homelessness * searchable resource directory of services","Call or drop in * food bank -- at initial intake assessment discussion, income and address information, and identification for household members, may be requested -- call for details",English ; French ; Spanish ; Other languages may be available,"Designated parking at entrance - unloading only ; Easy access to elevator - side entrance ; Barrier-free washroom including door and stall - main program area ; Wheelchair accessible washroom, assistance needed with door - 3rd floor ; Wheelchair accessibl","Emergency Intake -- Mon-Sun 24 hours<br>
<b>Drop-in</b> -- Mon-Tue, Thu 1:15 pm-7 pm; Wed 1:15 pm-8 pm; Fri 1:15 pm-5 pm<br>
<b>Food bank</b> -- Fri 1:30 pm-4:30 pm<br>
<b>Meal programs:</b>  lunch -- Mon-Tue, Thu 1:15 pm-4 pm * supper -- Mon-Thu 4 pm-7 p",(50) Non Profit ; (51) Registered Charity,2015-08-28T04:00:00,7641992,,,,,20 Gerrard St E,former Toronto,M5B 2P3,"{u'type': u'Point', u'coordinates': (-79.3814320788, 43.6594949038)}"
